Column1;Column2;Column3
léčím;ἰῶμαι, ἰᾶσθαι;
hraji si jen, dělám marné věci, tlachám;φλυαρῶ, εῖν;
lovím;θηρῶ, ᾶν;
jevím, zdám se;φαίνομαι;
dívám se, přehlížím;θεῶμαι, θεᾶσθαι;
nacházím;εὑρίσκω;
přijímám;δέχομαι;
zavděčuji se (někomu něčím);χαρίζομαι (τινί τι);
přeměňuji;μετα-μορφῶ, οῦν;
přeji si, modlím se;εὔχομαι;
dotýkám se (něčeho);ἅπτομαι (τινός);
trápím, trýzním, mučím;ἀνιῶ, ᾶν;
volám, křičím;βοῶ, βοᾶν;
zbavuji, zprošťuji (někoho něčeho);ἀπ-αλλάττω (τινά τινος);
posílám;πέμπω;
bydlím;οἰκῶ, εῖν;
posuzuji (podle);κρίνω (ἐκ);
pravil;ἔφη;
zabíjím;ἀπο-κτείνω;
zahanbuji, zneucťuji;κατ-αισχύνω;
pomáhám;ἀμύνω (s dat.);
bráním se komu;ἀμύνουμαι (s ak.);
bráním vlast;ἀμύνουμαι ὑπερ τῆς πατρίδος;
nesu, dopravuji;κομίζω;
získávám vděčnost;χάριν κομίζομαι;
dodávám odvahy, posiluji;θαρρύνω;
poskytuji;παρ-έχω;
obrátil jsem na útěk;εἰς φυγὴν ἐτπεψάμην;
připodobňuji, přirovnávám;ἀπ-εικάζω;
řídím;εὐθύνω;
prospívám;λυσιτελῶ, εῖν;
stárnu;γηράσκω;
sluší se;πρέπει;
stíním, vrhám stín;ἀπο-σκιάζω;
odpovídám;ἀπο-κρίνομαι;
zdám se;δοκῶ, εῖν;
říkám;φημί, φάναι;
projevuji, vyslovuji mínění;ἀπο-φαίνομαι τὴν γνώμην;
obléhám;πολιορκῶ, εῖν;
nazývám;προσ-αγορεύω;
luštím, řeším;δια-λύω;
střílím (z luku);τοξεύω;
odhazuji, zahazuji;ἀπο-ρρίπτω;
zapisuji, zaznamenávám;ἀνα-γράφω;
nutím;ἀναγκάζω;
doufám;ἐλπίζω;
objevuji, ukazuji;δηλῶ, οῦν;
vystupuji (ven) z řady;πορεύομαι ἔξω τῆς τάξεως;
trestám;κολάζω;
nedbám;ἀ-μελῶ, εῖν (s gen.);
stýkám se s, obcuji s;σύν-ειμι, εῖναι;
jsem vzdálen, chybím;ἄπ-ειμι, εῖναι;
je třeba;χρή, χρῆναι;
je možno, lze;ἔξ-εστι(ν);
jsem přítomen;πάρ-ειμι, εῖναι;
vidím;ὁρῶ, ᾶν;
vrhám kopí;ἀκοντίζω;
